t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
6.3500,8.89853,6.08271,0.51335,8.88767,6.08183,0.49791,8.89005,6.07731,0.49773,3.609053e-03,3.403264e-03,9.802430e-05,1.11650,-0.08937,0.51144,2,4.96007
6.4000,8.94819,6.11071,0.51335,8.93828,6.10934,0.49930,8.94012,6.10579,0.49993,3.617892e-03,3.411703e-03,9.802397e-05,1.15200,0.02779,0.51990,3,4.89518
6.4500,8.99784,6.13870,0.51335,8.98821,6.13658,0.49862,8.99003,6.13306,0.49926,3.626683e-03,3.419994e-03,9.802366e-05,1.13750,-0.01342,0.49936,2,4.93792
6.5000,9.04749,6.16669,0.51335,9.03814,6.16376,0.49565,9.03918,6.16164,0.49742,3.635474e-03,3.428279e-03,9.802338e-05,1.13700,-0.05946,0.52500,2,4.94706
6.5500,9.09715,6.19469,0.51335,9.08854,6.19101,0.49149,9.08898,6.18998,0.49408,3.644294e-03,3.436656e-03,9.802312e-05,1.14600,-0.08322,0.51432,2,4.89437
6.6000,9.14680,6.22268,0.51335,9.13950,6.21829,0.49464,9.13958,6.21791,0.49765,3.653148e-03,3.445135e-03,9.802288e-05,1.15600,0.06299,0.50803,3,4.92646
6.6500,9.19645,6.25067,0.51336,9.18870,6.24483,0.49196,9.18794,6.24597,0.49612,3.661880e-03,3.453221e-03,9.802266e-05,1.11800,-0.05355,0.52409,2,4.84182
6.7000,9.24610,6.27866,0.51336,9.23848,6.27151,0.49044,9.23675,6.27441,0.49588,3.670649e-03,3.461425e-03,9.802245e-05,1.12950,-0.03037,0.52724,2,4.85980
6.7500,9.29576,6.30666,0.51336,9.28907,6.29852,0.49346,9.28705,6.30195,0.49911,3.679474e-03,3.469812e-03,9.802227e-05,1.14700,0.06040,0.50430,2,4.89855
6.8000,9.34541,6.33465,0.51336,9.33881,6.32527,0.49314,9.33646,6.32929,0.49904,3.688240e-03,3.478020e-03,9.802209e-05,1.12950,-0.00646,0.50518,2,4.86066
