t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
5.4000,7.95511,5.55088,0.51328,7.92515,5.54742,0.52688,7.93318,5.53542,0.49722,8.024361e-03,5.858934e-03,4.876545e-04,1.18500,-0.05482,0.53741,9,5.05086
5.4500,8.00477,5.57887,0.51329,7.97440,5.57607,0.51906,7.98371,5.56181,0.48858,8.075214e-03,5.896725e-03,4.876546e-04,1.13950,-0.15641,0.47245,10,5.06222
5.5000,8.05442,5.60686,0.51330,8.02484,5.60489,0.51947,8.03316,5.59232,0.49239,8.126521e-03,5.935257e-03,4.876548e-04,1.16200,0.00832,0.55858,8,5.29524
5.5500,8.10408,5.63485,0.51330,8.07281,5.63231,0.47684,8.08019,5.62135,0.45281,8.177038e-03,5.971539e-03,4.876549e-04,1.10500,-0.85275,0.51241,8,4.79240
5.6000,8.15373,5.66284,0.51331,8.12187,5.65766,0.46937,8.12816,5.64851,0.44849,8.228326e-03,6.006922e-03,4.876550e-04,1.10450,-0.14923,0.50983,8,4.80325
5.6500,8.20339,5.69083,0.51331,8.17389,5.68404,0.47282,8.18041,5.67434,0.45251,8.280404e-03,6.044825e-03,4.876551e-04,1.16650,0.06902,0.46359,6,5.11768
5.7000,8.25304,5.71882,0.51332,8.22403,5.70969,0.47131,8.22742,5.70550,0.45781,8.331960e-03,6.081142e-03,4.876553e-04,1.12650,-0.03039,0.59078,7,5.10603
5.7500,8.30269,5.74681,0.51332,8.27415,5.73523,0.48060,8.27667,5.73255,0.46938,8.383406e-03,6.117513e-03,4.876553e-04,1.12500,0.18593,0.51388,11,4.93361
5.8000,8.35235,5.77480,0.51332,8.32676,5.76266,0.48380,8.32903,5.76037,0.47360,8.435357e-03,6.156716e-03,4.876554e-04,1.18650,0.06395,0.49351,8,4.78242
5.8500,8.40200,5.80279,0.51333,8.37790,5.78953,0.48535,8.38277,5.78250,0.47078,8.486864e-03,6.194721e-03,4.876555e-04,1.15550,0.03110,0.38544,7,5.02154
